variant=distractor model=/data00/home/sitian/.ms_cache/Qwen/Qwen3-8B seq_len=8192 model_answered_correctly=False
classification=DISCRIMINATIVE
layer  gran    k/L  quest_ph  quest_sh  oracle  best_bad   margin  needle  disc
    7    64  10.9%    0.9554    0.9527  0.9662    0.9468  +0.0087   0.875    no
    7    64  25.0%    0.9718    0.9615  0.9791    0.9606  +0.0112   1.000    no
    7    64  50.0%    0.9852    0.9831  0.9908    0.9735  +0.0118   1.000    no
    7    32   2.0%    0.9390    0.9381  0.9454    0.9358  +0.0032   0.625    no
    7    32   5.1%    0.9478    0.9477  0.9593    0.9401  +0.0077   0.875    no
    7    32  10.9%    0.9600    0.9542  0.9685    0.9464  +0.0136   1.000    no
    7    32  25.0%    0.9715    0.9660  0.9813    0.9602  +0.0114   1.000    no
    7    32  50.0%    0.9856    0.9828  0.9918    0.9731  +0.0125   1.000    no
   14   256   3.1%    0.8969    0.8969  0.8969    0.8969  +0.0000   0.000    no
   14   256   6.2%    0.8969    0.8969  0.8969    0.8969  +0.0000   0.000    no
   14   256  12.5%    0.9194    0.9293  0.9378    0.9023  +0.0171   0.375    no
   14   256  25.0%    0.9599    0.9646  0.9693    0.9227  +0.0372   0.750    no
   14   256  50.0%    0.9759    0.9804  0.9852    0.9715  +0.0044   0.875    no
   14    64   2.3%    0.8984    0.8981  0.9180    0.8941  +0.0044   0.375    no
   14    64   4.7%    0.9217    0.9413  0.9454    0.9430  -0.0213   0.625    no
   14    64  10.9%    0.9496    0.9578  0.9648    0.9011  +0.0485   0.750    no
   14    64  25.0%    0.9663    0.9699  0.9771    0.9382  +0.0282   1.000    no
   14    64  50.0%    0.9820    0.9828  0.9889    0.9410  +0.0410   1.000    no
   14    32   2.0%    0.9086    0.9137  0.9287    0.8934  +0.0152   0.625    no
   14    32   5.1%    0.9433    0.9540  0.9591    0.8963  +0.0471   0.625    no
   14    32  10.9%    0.9532    0.9608  0.9688    0.9042  +0.0489   1.000    no
   14    32  25.0%    0.9696    0.9712  0.9799    0.9218  +0.0479   1.000    no
   14    32  50.0%    0.9839    0.9855  0.9906    0.9505  +0.0334   1.000    no
   21   256   3.1%    0.7070    0.7070  0.7070    0.7070  +0.0000   0.000    no
   21   256   6.2%    0.7070    0.7070  0.7070    0.7070  +0.0000   0.000    no
   21   256  12.5%    0.7942    0.7846  0.7998    0.7404  +0.0539   0.000    no
   21   256  25.0%    0.9172    0.9093  0.9174    0.7624  +0.1548   0.125   yes
   21   256  50.0%    0.9769    0.9851  0.9881    0.8814  +0.0955   0.625    no
   21    64   2.3%    0.7342    0.7352  0.7530    0.7053  +0.0289   0.000    no
   21    64   4.7%    0.8395    0.8376  0.8608    0.7669  +0.0725   0.125    no
   21    64  10.9%    0.9421    0.9434  0.9663    0.7508  +0.1913   0.625   yes
   21    64  25.0%    0.9796    0.9829  0.9884    0.7786  +0.2010   0.875   yes
   21    64  50.0%    0.9928    0.9937  0.9968    0.8695  +0.1233   1.000   yes
   21    32   2.0%    0.8040    0.7926  0.8307    0.7063  +0.0976   0.000    no
   21    32   5.1%    0.9356    0.9446  0.9553    0.7367  +0.1989   0.750   yes
   21    32  10.9%    0.9701    0.9743  0.9827    0.7408  +0.2292   0.750   yes
   21    32  25.0%    0.9857    0.9884  0.9934    0.7615  +0.2242   0.875   yes
   21    32  50.0%    0.9952    0.9955  0.9982    0.8694  +0.1259   1.000   yes
   28   256   3.1%    0.7302    0.7302  0.7302    0.7302  +0.0000   0.000    no
   28   256   6.2%    0.7302    0.7302  0.7302    0.7302  +0.0000   0.000    no
   28   256  12.5%    0.8158    0.8156  0.8465    0.7641  +0.0518   0.000    no
   28   256  25.0%    0.9320    0.9427  0.9566    0.7822  +0.1498   0.125   yes
   28   256  50.0%    0.9920    0.9897  0.9932    0.8893  +0.1027   0.625   yes
   28    64   2.3%    0.7745    0.7765  0.7937    0.7265  +0.0480   0.125    no
   28    64   4.7%    0.8699    0.8780  0.9143    0.7639  +0.1060   0.500   yes
   28    64  10.9%    0.9700    0.9773  0.9790    0.7749  +0.1951   0.750   yes
   28    64  25.0%    0.9880    0.9857  0.9907    0.7796  +0.2084   0.875   yes
   28    64  50.0%    0.9942    0.9947  0.9961    0.8869  +0.1073   1.000   yes
   28    32   2.0%    0.8327    0.8268  0.8817    0.7295  +0.1032   0.250   yes
   28    32   5.1%    0.9659    0.9668  0.9727    0.7591  +0.2068   0.750   yes
   28    32  10.9%    0.9813    0.9791  0.9850    0.7611  +0.2202   0.875   yes
   28    32  25.0%    0.9894    0.9877  0.9921    0.7887  +0.2008   0.875   yes
   28    32  50.0%    0.9947    0.9951  0.9966    0.8867  +0.1080   1.000   yes
   35   256   3.1%    0.9055    0.9055  0.9055    0.9055  +0.0000   0.000    no
   35   256   6.2%    0.9055    0.9055  0.9055    0.9055  +0.0000   0.000    no
   35   256  12.5%    0.9315    0.9362  0.9389    0.9130  +0.0185   0.250    no
   35   256  25.0%    0.9520    0.9511  0.9576    0.9214  +0.0306   0.625    no
   35   256  50.0%    0.9753    0.9743  0.9791    0.9661  +0.0093   0.875    no
   35    64   2.3%    0.9043    0.9200  0.9201    0.9000  +0.0042   0.125    no
   35    64   4.7%    0.9152    0.9259  0.9310    0.9257  -0.0105   0.750    no
   35    64  10.9%    0.9388    0.9372  0.9457    0.9101  +0.0287   0.750    no
   35    64  25.0%    0.9548    0.9533  0.9634    0.9360  +0.0189   1.000    no
   35    64  50.0%    0.9746    0.9762  0.9831    0.9518  +0.0228   1.000    no
   35    32   2.0%    0.9017    0.9079  0.9209    0.8995  +0.0022   0.625    no
   35    32   5.1%    0.9306    0.9314  0.9366    0.9046  +0.0260   0.750    no
   35    32  10.9%    0.9409    0.9404  0.9484    0.9098  +0.0310   0.750    no
   35    32  25.0%    0.9559    0.9568  0.9664    0.9257  +0.0302   1.000    no
   35    32  50.0%    0.9756    0.9765  0.9847    0.9441  +0.0315   1.000    no

wrote /data00/home/sitian/tllm/selector-fidelity-runs/selector-fidelity-20260916-2248/fidelity-distractor.json
